Id,Predicted
1,2481
2,1669
3,6492
4,5857
5,8297
6,6650
7,1698
8,1650
9,476
10,5523
11,1590
12,1624
13,9243
14,5140
15,5857
16,4841
17,1171
18,9974
19,1171
20,4185
21,4562
22,3989
23,1590
24,8704
25,2192
26,5857
27,5857
28,8739
29,5523
30,2491
31,6898
32,1590
33,4841
34,1463
35,7487
36,1590
37,4974
38,1561
39,9218
40,3989
41,6652
42,1171
43,1590
44,1896
45,4106
46,4106
47,9048
48,4106
49,1906
50,8329
51,4106
52,1420
53,5904
54,4106
55,1171
56,4185
57,6455
58,1698
59,4974
60,8872
61,9135
62,6024
63,1590
64,1171
65,2986
66,4575
67,3658
68,5140
69,1509
70,2136
71,1590
72,5424
73,6898
74,5519
75,3761
76,6272
77,4106
78,2686
79,4054
80,6428
81,4925
82,4106
83,8479
84,5519
85,4925
86,4925
87,8930
88,8785
89,3989
90,2203
91,1590
92,1590
93,4974
94,4974
95,1650
96,1769
97,9353
98,4562
99,3220
100,1171
101,7362
102,1590
103,6156
104,1896
105,3989
106,1590
107,450
108,5396
109,7505
110,4562
111,4054
112,1896
113,5588
114,7209
115,6275
116,5140
117,8872
118,8429
119,1171
120,4185
121,5140
122,319
123,7125
124,8872
125,4578
126,5140
127,5857
128,3912
129,4562
130,4185
131,579
132,5519
133,8231
134,5004
135,319
136,319
137,8704
138,1590
139,7305
140,8654
141,4027
142,5181
143,6156
144,2203
145,1171
146,9543
147,4185
148,1171
149,7935
150,1650
151,1171
152,4638
153,9136
154,8363
155,4185
156,4185
157,9745
158,1171
159,1896
160,4185
161,4106
162,1896
163,934
164,9398
165,6183
166,5588
167,1171
168,3989
169,4974
170,4185
171,3220
172,1171
173,2876
174,3989
175,9243
176,3989
177,5857
178,4185
179,8363
180,6135
181,4185
182,3590
183,5424
184,4185
185,8897
186,8576
187,4841
188,1171
189,1896
190,6428
191,5140
192,6180
193,3989
194,1590
195,2876
196,6024
197,1590
198,7448
199,2586
200,3989
201,4925
202,1698
203,4185
204,6648
205,3768
206,8363
207,4185
208,6898
209,3936
210,1613
211,5713
212,7952
213,8019
214,6898
215,319
216,1896
217,6306
218,5424
219,7982
220,4354
221,1628
222,9974
223,1590
224,1698
225,5246
226,4974
227,1590
228,5538
229,4578
230,4185
231,5461
232,4106
233,7487
234,2686
235,6024
236,1171
237,319
238,4185
239,2203
240,1590
241,3743
242,1171
243,1896
244,3729
245,2586
246,7036
247,8974
248,3890
249,7362
250,8326
251,3989
252,1590
253,6024
254,934
255,4621
256,7802
257,9592
258,7952
259,4667
260,1590
261,3220
262,2686
263,9543
264,3729
265,438
266,4974
